qualtrics_id,instrument,tuning_step,pct_maj,explicit_rtg
3981943250,oboe,2,0,2
3981943250,oboe,3,0.25,2
3981943250,oboe,4,0.875,2
3981943250,oboe,5,1,2
4358939887,xylophone,1,0.25,3
4358939887,xylophone,2,0.75,3
4358939887,xylophone,3,0.5,3
4358939887,xylophone,4,1,3
4358939887,xylophone,5,1,3
4358939887,trumpet,1,0.5,2
4358939887,trumpet,2,0.375,2
4358939887,trumpet,3,0.875,2
4358939887,trumpet,4,1,2
4358939887,trumpet,5,0.875,2
4358939887,piano,1,0.5,3
4358939887,piano,2,0.375,3
4358939887,piano,3,0.5,3
4358939887,piano,4,0.625,3
4358939887,piano,5,1,3
4358939887,violin,1,0.25,3
4358939887,violin,2,0.625,3
4358939887,violin,3,0.625,3
4358939887,violin,4,1,3
4358939887,violin,5,1,3
4358939887,oboe,1,0.125,2
4358939887,oboe,2,0.125,2
4358939887,oboe,3,0.375,2
4358939887,oboe,4,0.875,2
4358939887,oboe,5,1,2
4475978126,xylophone,1,0.625,4
4475978126,xylophone,2,0.875,4
4475978126,xylophone,3,0.875,4
4475978126,xylophone,4,1,4
4475978126,xylophone,5,1,4
4475978126,trumpet,1,0.125,3
4475978126,trumpet,2,0.5,3
4475978126,trumpet,3,0.625,3
4475978126,trumpet,4,0.5,3
4475978126,trumpet,5,0.375,3
4475978126,piano,1,0.625,4
4475978126,piano,2,0.375,4
4475978126,piano,3,0.5,4
4475978126,piano,4,0.625,4
4475978126,piano,5,0.625,4
4475978126,violin,1,0.125,3
4475978126,violin,2,0.25,3
4475978126,violin,3,0.5,3
4475978126,violin,4,0.375,3
4475978126,violin,5,0.375,3
4475978126,oboe,1,0.25,2
4475978126,oboe,2,0.375,2
4475978126,oboe,3,0.5,2
4475978126,oboe,4,0.75,2
4475978126,oboe,5,0.375,2
4721459480,xylophone,1,0,3
4721459480,xylophone,2,0.125,3
4721459480,xylophone,3,1,3
4721459480,xylophone,4,1,3
4721459480,xylophone,5,1,3
4721459480,trumpet,1,0,2
4721459480,trumpet,2,0,2
4721459480,trumpet,3,1,2
4721459480,trumpet,4,1,2
4721459480,trumpet,5,1,2
4721459480,piano,1,0,2
4721459480,piano,2,0,2
4721459480,piano,3,0.75,2
4721459480,piano,4,1,2
4721459480,piano,5,1,2
4721459480,violin,1,0,2
4721459480,violin,2,0,2
4721459480,violin,3,1,2
4721459480,violin,4,1,2
4721459480,violin,5,1,2
4721459480,oboe,1,0,2
4721459480,oboe,2,0,2
4721459480,oboe,3,0.5,2
4721459480,oboe,4,1,2
4721459480,oboe,5,1,2
5041247779,xylophone,1,0,3
5041247779,xylophone,2,0,3
5041247779,xylophone,3,0.5,3
5041247779,xylophone,4,1,3
5041247779,xylophone,5,1,3
5041247779,trumpet,1,0,2
5041247779,trumpet,2,0,2
5041247779,trumpet,3,0.25,2
5041247779,trumpet,4,0.75,2
5041247779,trumpet,5,0.875,2
5041247779,piano,1,0,3
5041247779,piano,2,0,3
5041247779,piano,3,0.125,3
5041247779,piano,4,0.875,3
5041247779,piano,5,1,3
5041247779,violin,1,0,1
5041247779,violin,2,0,1
5041247779,violin,3,0,1
